Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
Brd1,SSD1306,128x64OLED,251.984703,-71.905763,15.18,top
D1,SK6812MINI,MX_SK6812MINI-E,172.538902,-58.083164,37.37,top
D2,SK6812MINI,MX_SK6812MINI-E,192.573964,-48.603512,13.055,top
D3,SK6812MINI,MX_SK6812MINI-E,214.726545,-48.293857,-11.297,top
D4,SK6812MINI,MX_SK6812MINI-E,237.150065,-58.635957,-38.447,top
D5,SK6812MINI,MX_SK6812MINI-E,254.957942,-114.4,-106.175,top
D6,SK6812MINI,MX_SK6812MINI-E,265.5975,-101.2825,0.0,top
H1,MountingHole_M3_3.2mm_Pad,MountingHole_3.2mm_Pad,158.33,-62.4,0.0,top
H2,MountingHole_M3_3.2mm_Pad,MountingHole_3.2mm_Pad,256.59,-127.22,0.0,top
H3,MountingHole_M3_3.2mm_Pad,MountingHole_3.2mm_Pad,223.79,-60.77,0.0,top
H4,MountingHole_M3_3.2mm_Pad,MountingHole_3.2mm_Pad,231.0,-40.48,0.0,top
SW1,SW_Push,SW_Cherry_MX_1.00u_PCB,169.083121,-52.627218,37.37,top
SW2,SW_Push,SW_Cherry_MX_1.00u_PCB,191.42,-41.318774,13.055,top
SW3,SW_Push,SW_Cherry_MX_1.00u_PCB,215.7,-41.517999,-11.297,top
SW4,SW_Push,SW_Cherry_MX_1.00u_PCB,240.979329,-53.948523,-38.447,top
SW5,SW_Push,SW_Cherry_MX_1.00u_PCB,261.323095,-115.78,-106.175,top
U1,MOUDLE-SEEEDUINO-XIAO,XIAO-Generic-Hybrid-14P-2.54-21X17.8MM,260.289262,-83.89673,73.825,bottom
